state_code,first_funding_at,last_funding_at,age_first_funding_year,age_last_funding_year,age_first_milestone_year,age_last_milestone_year,funding_rounds,funding_total_usd,milestones,is_CA,is_NY,is_MA,is_TX,is_otherstate,category_code,is_software,is_web,is_mobile,is_enterprise,is_advertising,is_gamesvideo,is_ecommerce,is_biotech,is_consulting,is_othercategory,has_VC,has_angel,has_roundA,has_roundB,has_roundC,has_roundD,avg_participants,is_top500,status,first_funding_year,last_funding_year
CO,2007-08-01,2007-09-01,0.2521,0.337,2.5205,4.4767,2,455000,0,0,0,0,0,1,public_relations,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,4.5,1,0,2007,2007
IL,2006-11-03,2006-11-03,4.8411,4.8411,1.0,1.0,1,13000000,1,0,0,0,0,1,software,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.0,1,1,2006,2006
CA,2007-01-22,2007-01-22,4.0603,4.0603,3.0027,3.0027,1,15000000,1,1,0,0,0,0,public_relations,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4.0,1,1,2007,2007
CA,2012-06-25,2012-06-25,4.0685,4.0685,3.4192,5.2301,1,3800000,3,1,0,0,0,0,photo_video,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2.0,1,1,2012,2012
TX,2009-11-01,2011-11-10,2.5068,4.5315,4.9315,5.6767,5,299500000,2,0,0,0,1,0,web,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1.75,1,1,2009,2011
CA,2006-08-01,2006-08-01,1.189,1.189,2.189,7.7753,1,1000000,3,1,0,0,0,0,hardware,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2.0,1,1,2006,2006
CA,2008-05-09,2009-03-01,1.3534,2.1644,4.5178,4.5178,2,10500000,1,1,0,0,0,0,other,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2.0,1,0,2008,2009
WA,2005-02-25,2006-03-02,4.1534,5.1671,3.0,3.0,2,8600000,1,0,0,0,0,1,public_relations,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1.5,1,1,2005,2006
NC,2006-08-01,2008-10-07,-0.1671,2.0192,2.5205,4.4767,2,5000000,0,0,0,0,0,1,software,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2.5,1,0,2006,2008
CA,2011-01-01,2011-11-14,0.0,0.8685,0.4137,2.1671,2,2304999,2,1,0,0,0,0,mobile,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,5.0,1,1,2011,2011
PA,2009-07-01,2009-07-01,0.0822,0.0822,2.5205,4.4767,1,25000,0,0,0,0,0,1,security,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1.0,0,0,2009,2009
NY,2007-02-26,2007-02-26,2.6575,2.6575,0.0,0.0,1,4000000,1,0,1,0,0,0,software,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,1,0,2007,2007
CA,2007-08-15,2008-08-05,0.6192,1.5945,1.0,4.3315,2,14600000,3,1,0,0,0,0,software,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2.0,1,0,2007,2008
CA,2006-01-24,2010-09-13,1.063,5.7014,2.5205,4.4767,3,44000000,0,1,0,0,0,0,hardware,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,4.5,1,0,2006,2010
CA,2008-12-01,2011-05-26,0.1671,2.6493,0.6082,4.7507,3,1822922,3,1,0,0,0,0,ecommerce,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,2.3333,1,1,2008,2011
NY,2006-03-01,2012-01-24,0.0,5.9041,3.8411,7.1370000000000005,7,29915001,5,0,1,0,0,0,advertising,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,2.75,1,1,2006,2012
GA,2006-05-01,2011-02-17,0.0,4.8027,3.7205,7.6164,4,33000000,5,0,0,0,0,1,enterprise,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,3.0,1,1,2006,2011
NH,2011-08-01,2012-03-01,0.0,0.5836,0.5836,0.5945,2,125000,2,0,0,0,0,1,mobile,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0,1,2011,2012
CA,2008-02-08,2010-05-21,0.1041,2.3863,2.3315,2.7918,2,4000000,2,1,0,0,0,0,travel,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1.0,1,0,2008,2010
WA,2007-11-06,2007-11-06,3.4904,3.4904,5.6603,8.3425,1,10000000,3,0,0,0,0,1,enterprise,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2.0,1,1,2007,2007
CA,2006-08-31,2006-08-31,4.6658,4.6658,8.7425,10.2247,1,6000000,4,1,0,0,0,0,advertising,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3.0,1,1,2006,2006
CA,2005-08-16,2005-08-16,2.6247,2.6247,2.5205,4.4767,1,25000000,0,1,0,0,0,0,software,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5.0,1,1,2005,2005
NY,2010-11-04,2012-11-13,0.926,2.9534,0.8329,2.7425,3,3750000,3,0,1,0,0,0,fashion,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2.0,1,1,2010,2012
MA,2010-01-15,2010-01-15,0.2466,0.2466,1.1178,1.663,1,3000000,2,0,0,1,0,0,software,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,1,1,2010,2010
CA,2010-08-01,2011-08-01,0.189,1.189,1.3562,1.6575,2,1155000,2,1,0,0,0,0,software,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9.5,1,1,2010,2011
CA,2005-12-15,2005-12-15,3.2082,3.2082,5.2548,7.8822,1,10000000,2,1,0,0,0,0,software,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.0,1,1,2005,2005
CA,2008-08-01,2008-08-01,2.5836,2.5836,2.0,2.0,1,3000000,1,1,0,0,0,0,web,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,1,1,2008,2008
MA,2010-11-23,2011-06-13,1.8932,2.4466,2.0,3.2767,2,11500000,3,0,0,1,0,0,mobile,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,1,2010,2011
TX,2005-08-01,2005-08-01,0.7479,0.7479,4.0493,8.3233,1,5000000,5,0,0,0,1,0,web,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.0,1,1,2005,2005
MA,2005-03-08,2006-10-23,5.1863,6.8137,7.3342,7.3342,2,29000000,1,0,0,1,0,0,public_relations,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,5.0,1,1,2005,2006
CA,2007-01-01,2012-07-23,0.6712,6.2329,4.0493,7.5973,6,34700000,4,1,0,0,0,0,enterprise,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,5.0,1,1,2007,2012
CA,2005-03-09,2007-07-01,1.1863,3.4986,2.5205,4.4767,2,12050000,0,1,0,0,0,0,software,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2.0,1,0,2005,2007
CA,2008-03-01,2010-10-05,2.1644,4.7616,4.0027,6.7534,3,12000000,2,1,0,0,0,0,analytics,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,2.0,1,1,2008,2010
CA,2009-03-10,2009-03-10,4.1041,4.1041,1.9151,1.9151,1,5500000,1,1,0,0,0,0,consulting,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2.0,1,1,2009,2009
CA,2009-06-26,2011-08-25,1.989,4.1534,2.8986,5.2575,3,24000000,4,1,0,0,0,0,software,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3.3333,1,1,2009,2011
MO,2005-09-12,2006-09-07,5.2027,6.189,7.5068,12.8932,2,10000000,2,0,0,0,0,1,mobile,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,4.5,1,1,2005,2006
MA,2002-09-12,2010-11-10,2.7836,10.9507,-1.9151,-1.9151,3,19009671,1,0,0,1,0,0,biotech,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2.0,1,0,2002,2010
CA,2008-07-01,2008-07-01,3.4986,3.4986,3.0,3.0,1,5000000,1,1,0,0,0,0,cleantech,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1.0,1,0,2008,2008
WA,2005-01-17,2010-04-20,4.0466,9.3041,6.0027,6.0027,5,18914576,1,0,0,0,0,1,enterprise,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,3.0,1,1,2005,2010
FL,2007-05-16,2007-05-16,6.3726,6.3726,2.5205,4.4767,1,4000000,0,0,0,0,0,1,software,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.0,0,0,2007,2007
MA,2010-03-30,2011-09-13,1.3259999999999998,2.7836,1.6740000000000002,3.1342,3,2030882,2,0,0,1,0,0,software,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.0,1,1,2010,2011
CA,2008-08-23,2008-08-23,2.6438,2.6438,0.0,7.3918,1,5000000,2,1,0,0,0,0,cleantech,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1.0,1,1,2008,2008
WA,2001-01-01,2001-01-01,1.0877,1.0877,2.5205,4.4767,1,20500000,0,0,0,0,0,1,software,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.0,1,0,2001,2001
CO,2010-01-18,2012-08-09,3.9616,6.5205,4.5781,7.6877,2,13250000,4,0,0,0,0,1,advertising,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2.0,0,1,2010,2012
CA,2007-04-02,2007-04-02,7.2548,7.2548,7.0055,7.0055,1,12000000,1,1,0,0,0,0,security,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.0,1,1,2007,2007
CA,2007-01-01,2008-09-09,1.3342,3.0247,3.0219,3.337,3,11489687,2,1,0,0,0,0,advertising,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,3.3333,1,1,2007,2008
CA,2008-09-05,2008-09-05,0.6795,0.6795,2.9178,4.2274,1,4000000,3,1,0,0,0,0,web,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.0,1,1,2008,2008
CA,2012-06-01,2012-06-01,-0.0301,-0.0301,0.1369999999999999,0.1369999999999999,1,355000,1,1,0,0,0,0,software,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0,1,2012,2012
FL,2006-01-01,2006-04-01,0.0,0.2466,2.4164,5.3151,2,118000,3,0,0,0,0,1,web,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.5,1,1,2006,2006
CA,2004-09-01,2012-05-01,1.6685,9.337,7.3808,10.474,4,40400000,3,1,0,0,0,0,advertising,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1.6667,1,1,2004,2012
TX,2008-10-21,2008-10-21,1.8055,1.8055,2.5205,4.4767,1,3000000,0,0,0,0,1,0,software,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,1,0,2008,2008
CA,2005-09-12,2007-01-01,2.6986,4.0027,1.0,1.0,2,19700000,1,1,0,0,0,0,software,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4.0,1,0,2005,2007
CA,2007-03-01,2007-03-12,9.1671,9.1973,2.5205,4.4767,2,17800000,0,1,0,0,0,0,software,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,1,0,2007,2007
CA,2010-03-05,2012-04-05,0.011,2.0986,3.0904,3.7836,3,57500000,3,1,0,0,0,0,photo_video,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,4.0,1,1,2010,2012
NY,2006-09-01,2009-01-14,0.6658,3.0384,2.0,5.0548,3,17200000,5,0,1,0,0,0,games_video,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,2.6667,1,1,2006,2009
MA,2008-01-01,2009-12-04,-0.5836,1.3425,0.0,1.5479,7,457282,2,0,0,1,0,0,mobile,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0,1,0,2008,2009
CA,2010-09-01,2012-09-20,-0.0219,2.0329,2.3151,3.1644,4,18500000,3,1,0,0,0,0,mobile,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,2.25,1,1,2010,2012
NJ,2010-01-17,2010-01-17,2.0466,2.0466,2.5205,4.4767,1,12000000,0,0,0,0,0,1,cleantech,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,6.0,1,0,2010,2010
CO,2010-07-06,2010-12-15,3.5123,3.9562,3.9534,4.8356,2,510000000,3,0,0,0,0,1,cleantech,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2.5,1,0,2010,2010
CA,2005-12-07,2006-09-06,3.9342,4.6822,4.0027,4.0027,2,18250000,1,1,0,0,0,0,search,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2.5,1,1,2005,2006
NY,2006-10-30,2010-04-21,2.1616,5.6384,3.8329,7.6932,4,41500019,5,0,1,0,0,0,music,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4.0,1,1,2006,2010
WV,2005-06-09,2005-06-09,5.4411,5.4411,2.5205,4.4767,1,1000000,0,0,0,0,0,1,software,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.0,0,0,2005,2005
CA,2007-05-18,2007-05-18,1.1288,1.1288,1.0,2.6767,1,5000000,2,1,0,0,0,0,web,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,1,1,2007,2007
MI,2008-11-19,2011-08-30,7.8877,10.6658,0.4137,0.4137,3,42700000,1,0,0,0,0,1,cleantech,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,3.6667,1,0,2008,2011
CA,2013-11-19,2013-11-19,0.8822,0.8822,2.5205,4.4767,1,12000000,0,1,0,0,0,0,ecommerce,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,9.0,1,0,2013,2013
WA,2005-07-11,2006-02-07,2.526,3.1041,3.0027,9.126,2,22300000,2,0,0,0,0,1,software,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4.5,1,1,2005,2006
CA,2006-01-01,2009-11-13,4.0027,7.8712,0.1616,0.1616,2,10000000,1,1,0,0,0,0,semiconductor,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,4.0,1,1,2006,2009
DC,2006-07-01,2009-12-29,1.1671,4.6658,2.5205,4.4767,3,15564591,0,0,0,0,0,1,advertising,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,3.5,1,0,2006,2009
CA,2009-07-28,2009-07-28,2.5726,2.5726,2.4795,4.6685,1,500000,2,1,0,0,0,0,web,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5.0,1,1,2009,2009
CA,2011-02-01,2012-04-23,0.1151,1.3397,1.8329,2.6712,2,8950000,2,1,0,0,0,0,analytics,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,7.0,1,1,2011,2012
NY,2007-10-01,2010-10-26,1.7479,4.8192,4.0027,4.8192,4,55350000,2,0,1,0,0,0,finance,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,4.0,1,1,2007,2010
CA,2005-09-21,2005-09-21,3.7233,3.7233,2.5205,4.4767,1,4000000,0,1,0,0,0,0,public_relations,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3.0,1,0,2005,2005
IL,2007-09-13,2012-07-06,1.6986,6.5151,3.2849,4.9315,5,10764323,3,0,0,0,0,1,software,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2.0,1,1,2007,2012
NJ,2008-05-29,2008-05-29,1.4082,1.4082,0.0,0.0,1,5500000,1,0,0,0,0,1,software,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.0,1,0,2008,2008
CA,2012-04-13,2012-04-13,4.2849,4.2849,2.4164,5.5151,1,400000,2,1,0,0,0,0,social,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3.0,1,1,2012,2012
CA,2007-10-02,2010-01-05,0.7507,3.0137,2.5205,4.4767,3,54000000,0,1,0,0,0,0,cleantech,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,2.6667,1,0,2007,2010
GA,2005-10-17,2005-10-17,20.8055,20.8055,2.5205,4.4767,1,32000000,0,0,0,0,0,1,software,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.0,1,0,2005,2005
WA,2005-10-14,2005-10-14,5.789,5.789,2.5205,4.4767,1,13000000,0,0,0,0,0,1,software,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.0,1,1,2005,2005
WA,2005-02-01,2006-04-10,0.0849,1.2712,2.5205,4.4767,3,12500000,0,0,0,0,0,1,software,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,2.3333,1,1,2005,2006
CA,2006-05-08,2012-04-11,2.3507,8.2822,1.0027,8.2849,4,38064570,2,1,0,0,0,0,security,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,3.0,1,1,2006,2012
CA,2007-01-01,2008-10-01,-0.4959,1.2548,2.1726,4.6,2,6000000,2,1,0,0,0,0,web,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4.0,1,1,2007,2008
VA,2008-11-17,2011-03-31,2.4658,4.8329,0.5863,5.6164,2,5000000,6,0,0,0,0,1,web,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1.0,0,0,2008,2011
VA,2000-01-01,2007-02-07,0.0,7.1068,6.0055,10.9041,3,59000000,3,0,0,0,0,1,software,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2.0,1,1,2000,2007
IL,2012-08-13,2012-08-13,1.0356,1.0356,0.0,1.0356,1,1000000,2,0,0,0,0,1,web,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0,0,2012,2012
CA,2009-09-21,2009-09-21,2.7233,2.7233,0.9151,6.3096,1,600000,3,1,0,0,0,0,web,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7.0,1,1,2009,2009
CT,2008-11-01,2009-02-20,2.8356,3.1397,3.3781,3.7753,2,125000000,2,0,0,0,0,1,mobile,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,2.0,1,0,2008,2009
CA,2007-11-01,2009-12-09,0.7945,2.9014,3.0493,6.5233,2,2750000,3,1,0,0,0,0,web,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4.0,1,1,2007,2009
CA,2005-12-01,2007-09-25,2.9178,4.7342,2.5205,4.4767,2,30000000,0,1,0,0,0,0,network_hosting,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2.5,1,1,2005,2007
CA,2007-01-05,2007-01-05,4.0137,4.0137,2.5205,4.4767,1,7000000,0,1,0,0,0,0,semiconductor,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1.0,0,0,2007,2007
CA,2006-05-31,2006-05-31,0.411,0.411,0.0,2.5342,1,6100000,2,1,0,0,0,0,search,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,4.0,1,1,2006,2006
CA,2011-04-13,2012-09-01,0.5315,1.9205,2.2548,2.9781,3,2100000,2,1,0,0,0,0,enterprise,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,4.0,1,0,2011,2012
CA,2009-11-01,2010-03-11,0.1452,0.5014,0.4959,3.011,2,2565000,3,1,0,0,0,0,mobile,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,3.5,1,1,2009,2010
CA,2007-10-03,2007-10-03,10.7589,10.7589,2.5205,4.4767,1,2000000,0,1,0,0,0,0,biotech,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,0,0,2007,2007
NC,2005-07-26,2008-09-08,2.5671,5.6904,2.0027,2.0027,3,22400000,1,0,0,0,0,1,network_hosting,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,3.6667,1,1,2005,2008
NY,2006-07-01,2006-07-01,1.0822,1.0822,6.0027,6.0027,1,6250000,1,0,1,0,0,0,ecommerce,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1.0,0,1,2006,2006
NY,2011-11-01,2011-11-01,1.7479,1.7479,1.0,2.1096,1,575000,2,0,1,0,0,0,web,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6.0,0,1,2011,2011
MA,2009-08-01,2010-03-01,0.0,0.5808,0.0,0.0,2,53000,1,0,0,1,0,0,web,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,1,0,2009,2010
CA,2006-12-01,2008-10-10,0.9151,2.7753,3.0027,3.6466,2,9500000,2,1,0,0,0,0,ecommerce,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,2.5,1,1,2006,2008
TX,2009-01-01,2010-07-27,-0.7479,0.8192,-1.7507,0.2521,2,3500000,2,0,0,0,1,0,enterprise,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1.0,1,0,2009,2010
NY,2010-07-10,2011-03-31,0.7726,1.4959,-0.5863,3.7534,3,10500000,3,0,1,0,0,0,photo_video,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,6.3333,1,1,2010,2011
CA,2008-10-03,2012-05-30,0.7562,4.4137,2.7836,4.0027,4,34250000,2,1,0,0,0,0,cleantech,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,2.25,1,1,2008,2012
MA,2006-09-06,2010-07-20,0.6795,4.5507,2.5205,4.4767,5,85381111,0,0,0,1,0,0,biotech,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,4.6667,1,1,2006,2010
MD,2006-03-01,2007-12-01,6.1671,7.9205,8.0055,11.2548,3,100000000,3,0,0,0,0,1,web,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2.5,1,1,2006,2007
PA,2008-01-01,2010-07-01,-1.011,1.4877,0.4055,1.3205,2,125000,2,0,0,0,0,1,advertising,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1.0,1,0,2008,2010
VA,2005-04-26,2007-03-27,2.3178,4.2356,-0.3342,-0.3342,2,10600000,1,0,0,0,0,1,mobile,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,3.0,1,0,2005,2007
